image_path,label,split
train/sad/augmented_2809.png,4,train
train/sad/fer0019754.png,4,train
train/sad/augmented_3166.png,4,train
train/sad/augmented_2075.png,4,train
train/sad/fer0018861.png,4,train
train/sad/fer0013751.png,4,train
train/sad/augmented_1986.png,4,train
train/sad/augmented_1509.png,4,train
train/sad/augmented_1931.png,4,train
train/sad/augmented_755.png,4,train
train/sad/augmented_4075.png,4,train
train/sad/fer0000211.png,4,train
train/sad/fer0024990.png,4,train
train/sad/augmented_3320.png,4,train
train/sad/augmented_1552.png,4,train
train/sad/augmented_4017.png,4,train
train/sad/fer0019308.png,4,train
train/sad/augmented_85.png,4,train
train/sad/augmented_158.png,4,train
train/sad/fer0002932.png,4,train
train/sad/augmented_4333.png,4,train
train/sad/fer0020540.png,4,train
train/sad/augmented_3919.png,4,train
train/sad/fer0026512.png,4,train
train/sad/fer0023210.png,4,train
train/sad/fer0010641.png,4,train
train/sad/fer0019211.png,4,train
train/sad/augmented_1405.png,4,train
train/sad/augmented_123.png,4,train
train/sad/fer0015545.png,4,train
train/sad/fer0002423.png,4,train
train/sad/fer0019861.png,4,train
train/sad/augmented_238.png,4,train
train/sad/augmented_2928.png,4,train
train/sad/augmented_4034.png,4,train
train/sad/fer0017821.png,4,train
train/sad/augmented_965.png,4,train
train/sad/fer0022670.png,4,train
train/sad/augmented_3056.png,4,train
train/sad/augmented_1723.png,4,train
train/sad/fer0013964.png,4,train
train/sad/fer0010864.png,4,train
train/sad/fer0022632.png,4,train
train/sad/fer0023950.png,4,train
train/sad/fer0011790.png,4,train
train/sad/augmented_1937.png,4,train
train/sad/fer0008580.png,4,train
train/sad/augmented_3741.png,4,train
train/sad/fer0027303.png,4,train
train/sad/augmented_2484.png,4,train
train/sad/augmented_3027.png,4,train
train/sad/fer0025283.png,4,train
train/sad/fer0017525.png,4,train
train/sad/augmented_2004.png,4,train
train/sad/augmented_3037.png,4,train
train/sad/augmented_389.png,4,train
train/sad/augmented_3541.png,4,train
train/sad/fer0027210.png,4,train
train/sad/augmented_23.png,4,train
train/sad/augmented_1132.png,4,train
train/sad/augmented_3915.png,4,train
train/sad/fer0007748.png,4,train
train/sad/fer0025052.png,4,train
train/sad/fer0027460.png,4,train
train/sad/augmented_2200.png,4,train
train/sad/augmented_180.png,4,train
train/sad/fer0027254.png,4,train
train/sad/fer0018951.png,4,train
train/sad/augmented_566.png,4,train
train/sad/augmented_2023.png,4,train
train/sad/fer0015457.png,4,train
train/sad/fer0010970.png,4,train
train/sad/augmented_838.png,4,train
train/sad/augmented_1316.png,4,train
train/sad/augmented_4330.png,4,train
train/sad/fer0014655.png,4,train
train/sad/fer0026607.png,4,train
train/sad/augmented_298.png,4,train
train/sad/fer0019410.png,4,train
train/sad/augmented_1457.png,4,train
train/sad/augmented_1207.png,4,train
train/sad/fer0008960.png,4,train
train/sad/augmented_803.png,4,train
train/sad/fer0021347.png,4,train
train/sad/fer0010413.png,4,train
train/sad/fer0026744.png,4,train
train/sad/fer0021656.png,4,train
train/sad/augmented_2267.png,4,train
train/sad/augmented_1119.png,4,train
train/sad/fer0013974.png,4,train
train/sad/augmented_3844.png,4,train
train/sad/augmented_3085.png,4,train
train/sad/augmented_1659.png,4,train
train/sad/augmented_1855.png,4,train
train/sad/augmented_2401.png,4,train
train/sad/fer0012020.png,4,train
train/sad/augmented_2695.png,4,train
train/sad/fer0001090.png,4,train
train/sad/fer0001676.png,4,train
train/sad/fer0025185.png,4,train
train/sad/fer0000415.png,4,train
train/sad/augmented_577.png,4,train
train/sad/fer0000733.png,4,train
train/sad/fer0023121.png,4,train
train/sad/fer0024044.png,4,train
train/sad/augmented_1285.png,4,train
train/sad/fer0023301.png,4,train
train/sad/fer0011760.png,4,train
